,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(51.4k Reviews),Public,"Mumbai,Maharashtra + 271 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(32.8k Reviews),Public,Dublin + 131 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(30.2k Reviews),Private,Teaneck. New Jersey. + 101 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34.1k Reviews),Public,"Mumbai,Maharashtra + 1059 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(40.1k Reviews),Public,"Mumbai,Maharashtra + 1269 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(29.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 225 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(29k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(24.3k Reviews),Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 211 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(19.8k Reviews),Public,"New York,New York + 68 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(18.8k Reviews),Public,"Noida,Uttar Pradesh + 140 more",32 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(19k Reviews),Public,"Seattle,Washington + 377 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(18.9k Reviews),Public,"Mumbai,Maharashtra + 1109 more",30 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.0,(15.2k Reviews),Public,"Fremont,California + 70 more",40 years old,10k-50k Employees (India)
14,IBM,4.2,(15.5k Reviews),Public,"Armonk,New York + 121 more",112 years old,50k-1 Lakh Employees (India)
15,Reliance jio,4.0,(14.9k Reviews),Public,"Navi Mumbai,Maharashtra + 998 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(24.5k Reviews),Public,"Mumbai,Maharashtra + 528 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4.0,(13.6k Reviews),Private,"Ahmedabad,Gujrat + 803 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,(13.3k Reviews),Public,"Gandhinagar,Gujrat + 567 more",5 years old,10k-50k Employees (India)
19,Teleperformance,3.6,(14.6k Reviews),Private,Paris + 121 more,45 years old,50k-1 Lakh Employees (India)
20,Reliance Retail,4.1,(16.9k Reviews),Private,"Navi Mumbai,Maharashtra + 705 more",17 years old,1 Lakh+ Employees (India)
21,Kotak Mahindra B...,3.9,(13.6k Reviews),Public,"Mumbai,Maharashtra + 478 more",20 years old,10k-50k Employees (India)
22,Deloitte,4.1,(10.5k Reviews),Private,"New York,New York + 131 more",178 years old,10k-50k Employees (India)
23,Reliance Industr...,4.1,(45.1k Reviews),Public,"Navi Mumbai,Maharashtra + 502 more",50 years old,10k-50k Employees (India)
24,Bharti Airtel,4.1,(12.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 530 more",28 years old,10k-50k Employees (India)
25,BYJU'S,3.5,(13.4k Reviews),Private,"Bangalore,Karnataka + 259 more",12 years old,1k-5k Employees (India)
26,Tata Motors,4.1,(12k Reviews),Public,"Pune,Maharashtra + 388 more",78 years old,10k-50k Employees (India)
27,Flipkart,4.2,(11.8k Reviews),Public,"Bangalore,Karnataka + 452 more",16 years old,10k-50k Employees (India)
28,WNS,3.7,(7.1k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
29,Mahindra & Mahin...,3.9,(39.6k Reviews),Public,"Mumbai,Maharashtra + 421 more",78 years old,1 Lakh+ Employees (India)
